author_rank,author_name,author_key,inspire_author_recid,author_type,paper_count,frontier_count,frontiers,first_year,last_year,citable_paper_count,total_citations_on_coauthored_papers,mean_citations_on_coauthored_papers,max_citations_on_coauthored_papers
1,"Tsai, Yu-Dai",INSPIRE:1274923,1274923,individual,22,10,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF | UF,2021,2022,22,2956,134.36363636363637,422
2,"Shiltsev, Vladimir D.",INSPIRE:988978,988978,individual,20,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2019,2022,20,792,39.6,181
3,"Kelly, Kevin J.",INSPIRE:1077496,1077496,individual,17,8,AF | CF | EF | IF | NF | RPF | TF | UF,2021,2022,17,2088,122.82352941176471,422
4,"Han, Tao",INSPIRE:1006825,1006825,individual,16,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2021,2022,16,1405,87.8125,293
5,"Xie, Keping",INSPIRE:1618109,1618109,individual,15,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2021,2022,15,2231,148.73333333333332,422
6,"Liu, Zhen",INSPIRE:1256188,1256188,individual,14,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2021,2022,14,1949,139.21428571428572,422
7,"Nachman, Benjamin",INSPIRE:1067995,1067995,individual,14,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2020,2022,14,1644,117.42857142857143,544
8,"Nagaitsev, Sergei",INSPIRE:996300,996300,individual,14,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2021,2022,14,888,63.42857142857143,346
9,"Cyr-Racine, Francis-Yan",INSPIRE:1283498,1283498,individual,13,4,CF | IF | NF | TF,2019,2022,13,2613,201.0,1594
10,"Takhistov, Volodymyr",INSPIRE:1059400,1059400,individual,13,6,AF | CF | IF | NF | RPF | TF,2022,2022,13,1758,135.23076923076923,346
11,"Chachamis, Grigorios",INSPIRE:1037833,1037833,individual,13,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2021,2022,13,1665,128.07692307692307,422
12,"Diwan, Milind Vaman",INSPIRE:1011701,1011701,individual,13,9,AF | CEF | CF | EF | IF | NF | RPF | TF | UF,2021,2022,13,1122,86.3076923076923,422
13,"Barzi, Emanuela",INSPIRE:1037853,1037853,individual,13,10,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF | UF,2022,2022,13,593,45.61538461538461,293
14,"Dutta, Bhaskar",INSPIRE:1011141,1011141,individual,12,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,12,1422,118.5,422
15,"Batell, Brian",INSPIRE:1041682,1041682,individual,12,7,AF | CF | EF | IF | NF | RPF | TF,2021,2022,12,1370,114.16666666666667,422
16,"Kahn, Yonatan",INSPIRE:1051663,1051663,individual,12,7,AF | CF | CompF | EF | IF | RPF | TF,2022,2022,12,1312,109.33333333333333,346
17,"Meade, Patrick Roddy",INSPIRE:1025277,1025277,individual,12,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,12,1217,101.41666666666667,293
18,"Denisov, Dmitri S",INSPIRE:1012030,1012030,individual,12,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,12,1199,99.91666666666667,293
19,"Barrow, Joshua L.",INSPIRE:1684080,1684080,individual,12,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2022,2022,12,645,53.75,201
20,"Belomestnykh, Sergey",INSPIRE:1016832,1016832,individual,12,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2022,2022,12,599,49.916666666666664,293
21,"Nanni, Emilio Alessandro",INSPIRE:1247601,1247601,individual,12,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2021,2022,12,585,48.75,293
22,"Bross, Alan D.",INSPIRE:1015214,1015214,individual,12,7,AF | CF | EF | IF | NF | RPF | TF,2022,2022,12,506,42.166666666666664,114
23,"Denton, Peter B.",INSPIRE:1272961,1272961,individual,11,8,AF | CF | EF | IF | NF | RPF | TF | UF,2021,2022,11,3322,302.0,1594
24,"Pandey, Vishvas",INSPIRE:1335606,1335606,individual,11,8,AF | CF | CompF | EF | IF | NF | RPF | TF,2021,2022,11,1624,147.63636363636363,422
25,"Wang, Lian-Tao",INSPIRE:984146,984146,individual,11,9,AF | CEF | CF | EF | IF | NF | RPF | TF | UF,2022,2022,11,1467,133.36363636363637,293
26,"de Roeck, Albert",INSPIRE:1012251,1012251,individual,11,8,AF | CF | EF | IF | NF | RPF | TF | UF,2021,2022,11,1419,129.0,422
27,"Su, Shufang",INSPIRE:987285,987285,individual,11,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2022,2022,11,1356,123.27272727272727,422
28,"Ma, Yang",INSPIRE:1514492,1514492,individual,11,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2021,2022,11,1274,115.81818181818181,293
29,"Maltoni, Fabio",INSPIRE:999053,999053,individual,11,7,AF | CF | CompF | EF | IF | NF | TF,2020,2022,11,1238,112.54545454545455,201
30,"Dasu, Sridhara Rao",INSPIRE:1012395,1012395,individual,11,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,11,1039,94.45454545454545,293
31,"Machado, Pedro A.N.",INSPIRE:1068045,1068045,individual,11,9,AF | CF | CompF | EF | IF | NF | RPF | TF | UF,2022,2022,11,1005,91.36363636363636,218
32,"Westerdale, Shawn",INSPIRE:1224630,1224630,individual,11,7,CEF | CF | CompF | IF | NF | TF | UF,2022,2022,11,684,62.18181818181818,183
33,"Jindariani, Sergo Robert",INSPIRE:1028687,1028687,individual,11,5,AF | EF | IF | RPF | TF,2021,2022,11,683,62.09090909090909,182
34,"Yakovlev, Vyacheslav",INSPIRE:1059917,1059917,individual,11,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2021,2022,11,544,49.45454545454545,293
35,"Ruiz, Richard Efrain",INSPIRE:1054727,1054727,individual,10,8,AF | CF | CompF | EF | IF | NF | RPF | TF,2020,2022,10,1692,169.2,422
36,"Homiller, Samuel",INSPIRE:1515880,1515880,individual,10,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,10,1181,118.1,293
37,"Demarteau, Marcel",INSPIRE:1012077,1012077,individual,10,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2022,2022,10,1104,110.4,346
38,"Pagan Griso, Simone",INSPIRE:1048820,1048820,individual,10,9,AF | CEF | CF | EF | IF | NF | RPF | TF | UF,2022,2022,10,1060,106.0,293
39,"Robens, Tania Natalie",INSPIRE:1040385,1040385,individual,10,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,10,946,94.6,293
40,"Curtin, David",INSPIRE:1024481,1024481,individual,10,5,AF | CF | EF | IF | TF,2022,2022,10,935,93.5,182
41,"Meyers, Joel",INSPIRE:1041642,1041642,individual,10,4,CF | IF | NF | TF,2019,2022,10,800,80.0,175
42,"Slosar, Anže",INSPIRE:1023729,1023729,individual,10,4,CF | CompF | IF | NF,2019,2022,10,797,79.7,175
43,"Stark, Giordon Holtsberg",INSPIRE:1319078,1319078,individual,10,6,AF | CEF | CompF | EF | IF | TF,2022,2022,10,764,76.4,182
44,"Black, Kevin",INSPIRE:1020223,1020223,individual,10,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,10,686,68.6,293
45,"Kim, Doojin",INSPIRE:1247376,1247376,individual,10,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2022,2022,10,584,58.4,293
46,"Scholberg, Kate",INSPIRE:989738,989738,individual,10,5,CF | IF | NF | RPF | UF,2022,2022,10,558,55.8,153
47,"Littlejohn, Bryce",INSPIRE:1191643,1191643,individual,10,6,AF | CF | IF | NF | RPF | TF,2021,2022,10,515,51.5,153
48,"Tsai, Yun-Tse",INSPIRE:1041247,1041247,individual,10,5,CF | IF | NF | RPF | TF,2022,2022,10,514,51.4,153
49,"Jackson, Christopher",INSPIRE:1066937,1066937,individual,10,7,AF | CEF | CF | IF | NF | RPF | UF,2022,2022,10,388,38.8,132
50,"Chekanov, Sergei V.",INSPIRE:1013915,1013915,individual,10,5,AF | CompF | EF | IF | TF,2019,2022,10,286,28.6,197
51,"Assamagan, Kétévi Adikle",INSPIRE:1017963,1017963,individual,10,4,AF | CEF | CF | EF,2021,2022,10,66,6.6,23
52,"Celiberto, Francesco Giovanni",INSPIRE:1418744,1418744,individual,9,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2021,2022,9,1886,209.55555555555554,422
53,"Balantekin, A. Baha",INSPIRE:1017575,1017575,individual,9,8,AF | CF | CompF | EF | IF | NF | RPF | TF,2022,2022,9,1458,162.0,544
54,"Giuli, Francesco",INSPIRE:1412759,1412759,individual,9,8,AF | CF | CompF | EF | IF | NF | RPF | TF,2020,2022,9,1440,160.0,422
55,"Jana, Sudip",INSPIRE:1475406,1475406,individual,9,8,AF | CF | EF | IF | NF | RPF | TF | UF,2021,2022,9,1438,159.77777777777777,422
56,"Kling, Felix",INSPIRE:1273332,1273332,individual,9,9,AF | CF | CompF | EF | IF | NF | RPF | TF | UF,2021,2022,9,1283,142.55555555555554,422
57,"Reuter, Jürgen",INSPIRE:1021811,1021811,individual,9,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2021,2022,9,1214,134.88888888888889,293
58,"Schwartzman, Ariel G.",INSPIRE:1020905,1020905,individual,9,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2021,2022,9,1189,132.11111111111111,346
59,"Hoeche, Stefan",INSPIRE:1030568,1030568,individual,9,8,AF | CF | CompF | EF | IF | NF | RPF | TF,2020,2022,9,1161,129.0,422
60,"Reina, Laura",INSPIRE:992031,992031,individual,9,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2021,2022,9,1146,127.33333333333333,293
61,"Craig, Nathaniel Jay",INSPIRE:1046385,1046385,individual,9,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,9,1041,115.66666666666667,293
62,"Schulte, Daniel",INSPIRE:989645,989645,individual,9,8,AF | CF | EF | IF | NF | RPF | TF | UF,2022,2022,9,976,108.44444444444444,218
63,"Ferraro, Simone",INSPIRE:1058850,1058850,individual,9,4,CF | IF | NF | TF,2019,2022,9,883,98.11111111111111,175
64,"Long, Kenneth Richard",INSPIRE:999862,999862,individual,9,7,AF | CF | EF | IF | NF | RPF | TF,2022,2022,9,759,84.33333333333333,182
65,"Holmes, Tova Ray",INSPIRE:1067690,1067690,individual,9,4,AF | EF | IF | TF,2022,2022,9,720,80.0,182
66,"Merkel, Petra",INSPIRE:1022138,1022138,individual,9,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,9,618,68.66666666666667,293
67,"Djurcic, Zelimir",INSPIRE:1023592,1023592,individual,9,8,AF | CEF | CF | IF | NF | RPF | TF | UF,2022,2022,9,512,56.888888888888886,153
68,"Wang, Juijen",INSPIRE:1046256,1046256,individual,9,7,AF | CEF | CF | IF | NF | RPF | UF,2022,2022,9,501,55.666666666666664,218
69,"Kaplan, Daniel M.",INSPIRE:1003695,1003695,individual,9,7,AF | CF | EF | IF | NF | RPF | TF,2022,2022,9,474,52.666666666666664,114
70,"Maricic, J.",INSPIRE:1023897,1023897,individual,9,7,AF | CEF | CF | IF | NF | RPF | UF,2022,2022,9,425,47.22222222222222,153
71,"Yonehara, Katsuya",INSPIRE:1019845,1019845,individual,9,7,AF | CF | EF | IF | NF | RPF | TF,2022,2022,9,419,46.55555555555556,114
72,"Tayloe, Rex",INSPIRE:986475,986475,individual,9,7,AF | CF | IF | NF | RPF | TF | UF,2022,2022,9,410,45.55555555555556,153
73,"Grant, C.",INSPIRE:1922907,1922907,individual,9,7,AF | CEF | CF | IF | NF | RPF | UF,2022,2022,9,405,45.0,153
74,"Neuffer, David",INSPIRE:995826,995826,individual,9,6,AF | EF | IF | NF | RPF | TF,2021,2022,9,397,44.111111111111114,114
75,"Van de Water, Richard",INSPIRE:984003,984003,individual,9,7,AF | CF | IF | NF | RPF | TF | UF,2022,2022,9,244,27.11111111111111,82
76,"Pedro, Kevin",INSPIRE:1067964,1067964,individual,9,8,CEF | CF | CompF | EF | IF | NF | RPF | TF,2020,2022,9,182,20.22222222222222,86
77,"Sehgal, Neelima",INSPIRE:1043864,1043864,individual,8,4,CF | IF | NF | TF,2019,2022,8,2287,285.875,1594
78,"Lewis, Tiffany R.",INSPIRE:1960636,1960636,individual,8,2,CEF | CF,2022,2022,8,1655,206.875,1594
79,"Kagan, Michael",INSPIRE:1055164,1055164,individual,8,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2021,2022,8,1208,151.0,346
80,"de Blas, Jorge",INSPIRE:1021004,1021004,individual,8,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,8,1206,150.75,293
81,"Grojean, Christophe",INSPIRE:1007486,1007486,individual,8,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,8,1206,150.75,293
82,"Redigolo, Diego",INSPIRE:1214912,1214912,individual,8,8,AF | CF | EF | IF | NF | RPF | TF | UF,2022,2022,8,1158,144.75,218
83,"Friedland, Alexander",INSPIRE:1009424,1009424,individual,8,8,AF | CF | CompF | EF | IF | NF | RPF | TF,2021,2022,8,1125,140.625,422
84,"Conrad, Janet M.",INSPIRE:1013143,1013143,individual,8,8,AF | CEF | CF | IF | NF | RPF | TF | UF,2022,2022,8,1067,133.375,346
85,"Garzelli, Maria Vittoria",INSPIRE:1045005,1045005,individual,8,9,AF | CEF | CF | EF | IF | NF | RPF | TF | UF,2021,2022,8,1038,129.75,422
86,"Hostert, Matheus",INSPIRE:1621061,1621061,individual,8,7,AF | CF | EF | IF | NF | RPF | TF,2022,2022,8,979,122.375,343
87,"Mantani, Luca",INSPIRE:1668860,1668860,individual,8,6,AF | CompF | EF | IF | NF | TF,2020,2022,8,897,112.125,200
88,"Franceschini, Roberto",INSPIRE:1052115,1052115,individual,8,8,AF | CF | EF | IF | NF | RPF | TF | UF,2022,2022,8,863,107.875,218
89,"Kong, Kyoungchul",INSPIRE:1020007,1020007,individual,8,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,8,819,102.375,293
90,"Gray, Lindsey",INSPIRE:1059457,1059457,individual,8,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2020,2022,8,680,85.0,293
91,"Toro, Natalia",INSPIRE:1041299,1041299,individual,8,7,AF | CF | EF | IF | NF | RPF | TF,2022,2022,8,680,85.0,346
92,"de Gouvea, Andre Luiz",INSPIRE:1012258,1012258,individual,8,8,AF | CF | EF | IF | NF | RPF | TF | UF,2022,2022,8,655,81.875,218
93,"Drlica-Wagner, Alex",INSPIRE:1069659,1069659,individual,8,4,CF | IF | RPF | TF,2022,2022,8,631,78.875,261
94,"Markiewicz, Thomas W.",INSPIRE:998764,998764,individual,8,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2021,2022,8,625,78.125,293
95,"Monzani, Maria Elena",INSPIRE:1029714,1029714,individual,8,8,CEF | CF | CompF | EF | IF | NF | RPF | UF,2022,2022,8,622,77.75,218
96,"Strigari, L.E.",INSPIRE:1026336,1026336,individual,8,7,CF | CompF | IF | NF | RPF | TF | UF,2022,2022,8,619,77.375,218
97,"Szydagis, Matthew",INSPIRE:1054974,1054974,individual,8,7,CF | CompF | EF | IF | NF | RPF | UF,2022,2022,8,619,77.375,218
98,"White, Andrew",INSPIRE:983680,983680,individual,8,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,8,516,64.5,293
99,"Dvorkin, Cora",INSPIRE:1059224,1059224,individual,8,4,CF | CompF | IF | TF,2022,2022,8,491,61.375,172
100,"Blinov, Nikita",INSPIRE:1117075,1117075,individual,8,6,AF | CF | EF | NF | RPF | TF,2022,2022,8,486,60.75,142
101,"Mahn, Kendall",INSPIRE:1037453,1037453,individual,8,7,CF | CompF | EF | IF | NF | RPF | TF,2022,2022,8,478,59.75,153
102,"Bhat, Pushpalatha C.",INSPIRE:1016441,1016441,individual,8,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,8,471,58.875,293
103,"Heeger, K.M.",INSPIRE:1006343,1006343,individual,8,5,CF | IF | NF | RPF | UF,2022,2022,8,459,57.375,153
104,"Zettlemoyer, Jacob",INSPIRE:1246274,1246274,individual,8,6,AF | CF | IF | NF | RPF | TF,2022,2022,8,445,55.625,153
105,"Posen, Sam",INSPIRE:1467553,1467553,individual,8,9,AF | CEF | CF | CompF | EF | IF | NF | RPF | TF,2022,2022,8,439,54.875,293
106,"Mokhov, N.V.",INSPIRE:997065,997065,individual,8,6,AF | CF | EF | IF | NF | RPF,2022,2022,8,433,54.125,114
107,"Ochoa-Ricoux, J. Pedro",INSPIRE:1041772,1041772,individual,8,7,AF | CEF | CF | IF | NF | RPF | UF,2022,2022,8,416,52.0,153
108,"Onel, Yasar",INSPIRE:994876,994876,individual,8,5,CF | EF | IF | NF | RPF,2022,2022,8,394,49.25,180
109,"Toups, Matthew",INSPIRE:1054765,1054765,individual,8,6,AF | CF | IF | NF | RPF | TF,2022,2022,8,379,47.375,153
110,"Perloff, Alexx",INSPIRE:1067962,1067962,individual,8,6,AF | CEF | CompF | EF | IF | TF,2022,2022,8,357,44.625,114
111,"Syphers, Michael",INSPIRE:986962,986962,individual,8,5,AF | EF | NF | RPF | TF,2021,2022,8,324,40.5,136
112,"Qian, Xin",INSPIRE:1074728,1074728,individual,8,5,CF | CompF | IF | NF | RPF,2022,2022,8,319,39.875,153
113,"Svoboda, Robert",INSPIRE:987002,987002,individual,8,7,AF | CEF | CF | IF | NF | RPF | UF,2022,2022,8,282,35.25,82
114,"Vahsen, Sven",INSPIRE:1020433,1020433,individual,8,6,AF | CF | EF | IF | NF | RPF,2022,2022,8,272,34.0,132
115,"Rosenzweig, James B.",INSPIRE:991236,991236,individual,8,4,AF | CEF | EF | IF,2021,2022,8,271,33.875,99
116,"Nord, Brian D.",INSPIRE:1029527,1029527,individual,8,5,CEF | CF | CompF | IF | TF,2022,2022,8,244,30.5,172
117,"Zwaska, Robert Miles",INSPIRE:1020871,1020871,individual,8,6,AF | CF | IF | NF | RPF | TF,2021,2022,8,199,24.875,82
118,"Rojo, Juan",INSPIRE:1019897,1019897,individual,7,8,AF | CF | CompF | EF | IF | NF | RPF | TF,2021,2022,7,1631,233.0,422
119,"Nadolsky, Pavel M.",INSPIRE:996313,996313,individual,7,8,AF | CF | CompF | EF | IF | NF | RPF | TF,2021,2022,7,1438,205.42857142857142,422
120,"Shu, Jing",INSPIRE:1019902,1019902,individual,7,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,7,1392,198.85714285714286,346
121,"Tait, Tim M.P.",INSPIRE:986860,986860,individual,7,8,AF | CEF | CF | EF | IF | NF | RPF | TF,2022,2022,7,1335,190.71428571428572,346
