record_id,arxiv,title,official_pdf_url,pdf_url,pdf_source,pdf_path,file_size_bytes,download_status,download_error,page_count,text_chars_no_space,unicode_token_count,latin_word_count,number_token_count,text_chars_with_space,chars_per_page,unicode_tokens_per_page,latin_words_per_page,extraction_status
arxiv:1901.11146,1901.11146,Studies of Granularity of a Hadronic Calorimeter for Tens-of-TeV Jets at a 100 TeV pp Collider,https://www.slac.stanford.edu/econf/C210711/papers/1901.11146.pdf,https://www.slac.stanford.edu/econf/C210711/papers/1901.11146.pdf,official SLAC eConf,tmp/pdfs/snowmass2021/arxiv_1901.11146.pdf,303344,cached,,19,35067,8287,5828,2162,43785,1845.6315789473683,436.1578947368421,306.7368421052632,pdftotext
arxiv:1906.02693,1906.02693,FCC-ee: Your Questions Answered,https://www.slac.stanford.edu/econf/C210711/papers/1906.02693.pdf,https://www.slac.stanford.edu/econf/C210711/papers/1906.02693.pdf,official SLAC eConf,tmp/pdfs/snowmass2021/arxiv_1906.02693.pdf,3447248,cached,,45,138225,26867,24364,2275,165363,3071.6666666666665,597.0444444444445,541.4222222222222,pdftotext
arxiv:1906.10134,1906.10134,"CMB-HD: An Ultra-Deep, High Resolution Millimeter Wave Survey over Half the Sky",https://www.slac.stanford.edu/econf/C210711/papers/1906.10134.pdf,https://www.slac.stanford.edu/econf/C210711/papers/1906.10134.pdf,official SLAC eConf,tmp/pdfs/snowmass2021/arxiv_1906.10134.pdf,1188203,cached,,23,62566,11787,9863,1754,73233,2720.2608695652175,512.4782608695652,428.82608695652175,pdftotext
arxiv:1910.14149,1910.14149,A Fast Method for Particle Tracking and Triggering using Small-Radius Silicon Detectors,https://www.slac.stanford.edu/econf/C210711/papers/1910.14149.pdf,https://www.slac.stanford.edu/econf/C210711/papers/1910.14149.pdf,official SLAC eConf,tmp/pdfs/snowmass2021/arxiv_1910.14149.pdf,259985,cached,,7,28536,5666,5110,568,34300,4076.5714285714284,809.4285714285714,730.0,pdftotext
arxiv:1912.11871,1912.11871,Circular and Linear e+e− Colliders: Another Story of Complementarity,https://www.slac.stanford.edu/econf/C210711/papers/1912.11871.pdf,https://www.slac.stanford.edu/econf/C210711/papers/1912.11871.pdf,official SLAC eConf,tmp/pdfs/snowmass2021/arxiv_1912.11871.pdf,3019665,cached,,22,58491,11666,10266,1143,70487,2658.681818181818,530.2727272727273,466.6363636363636,pdftotext
arxiv:2003.09084,2003.09084,Modern and Future Colliders,https://www.slac.stanford.edu/econf/C210711/papers/2003.09084.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2003.09084.pdf,official SLAC eConf,tmp/pdfs/snowmass2021/arxiv_2003.09084.pdf,11408842,cached,,65,271037,53364,46727,6437,323835,4169.8,820.9846153846154,718.876923076923,pdftotext
arxiv:2004.00580,2004.00580,Measuring the Neutrino Event Time in Liquid Argon by a Post-Reconstruction One-parameter Fit,https://www.slac.stanford.edu/econf/C210711/papers/2004.00580.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2004.00580.pdf,official SLAC eConf,tmp/pdfs/snowmass2021/arxiv_2004.00580.pdf,411737,cached,,9,19488,3563,3346,248,23029,2165.3333333333335,395.8888888888889,371.77777777777777,pdftotext
arxiv:2004.13687,2004.13687,Challenges in Monte Carlo Event Generator Software for High-Luminosity LHC,https://www.slac.stanford.edu/econf/C210711/papers/2004.13687.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2004.13687.pdf,official SLAC eConf,tmp/pdfs/snowmass2021/arxiv_2004.13687.pdf,611383,cached,,20,95659,17766,15961,2060,111933,4782.95,888.3,798.05,pdftotext
arxiv:2005.05221,2005.05221,Physics Potential of Timing Layers in Future Collider Detectors,https://www.slac.stanford.edu/econf/C210711/papers/2005.05221.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2005.05221.pdf,official SLAC eConf,tmp/pdfs/snowmass2021/arxiv_2005.05221.pdf,1156799,cached,,14,25100,5125,4612,538,30240,1792.857142857143,366.07142857142856,329.42857142857144,pdftotext
arxiv:2005.10289,2005.10289,Vector Boson Fusion at Multi-TeV Muon Colliders,https://www.slac.stanford.edu/econf/C210711/papers/2005.10289.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2005.10289.pdf,official SLAC eConf,tmp/pdfs/snowmass2021/arxiv_2005.10289.pdf,2203449,cached,,59,129975,28898,23173,4551,160369,2202.9661016949153,489.79661016949154,392.76271186440675,pdftotext
arxiv:2006.04824,2006.04824,New Physics in B Meson Mixing: Future Sensitivity and Limitations,https://www.slac.stanford.edu/econf/C210711/papers/2006.04824.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2006.04824.pdf,official SLAC eConf,tmp/pdfs/snowmass2021/arxiv_2006.04824.pdf,541130,cached,,12,44223,9486,7785,1229,53701,3685.25,790.5,648.75,pdftotext
