rank,record_id,title,authors_as_listed,arxiv,publication_year,frontier_labels,primary_arxiv_category,citation_count,citation_count_without_self_citations,citations_per_year,impact_proxy_score_0_100,frontier_count,placement_count,citation_source,inspire_url
1,arxiv:2203.06142,"Cosmology Intertwined: A Review of the Particle Physics, Astrophysics, and Cosmology Associated with the Cosmological Tensions and Anomalies",E. Abdalla et al.,2203.06142,2022,Cosmic,astro-ph.CO,1594,884,361.1715260545906,99.90689013035382,1,1,INSPIRE,https://inspirehep.net/literature/2050441
2,arxiv:2204.03381,Quantum Simulation for High Energy Physics,C. W. Bauer et al.,2204.03381,2022,Computational | Theory,quant-ph,544,399,125.36025236593059,99.72067039106145,2,2,INSPIRE,https://inspirehep.net/literature/2064292
3,arxiv:2203.05090,The Forward Physics Facility at the High-Luminosity LHC,J. L. Feng et al.,2203.05090,2022,Accelerator Science and Technology | Cosmic | Energy | Instrumentation | Neutrinos | Rare Processes and Precision Measurements | Theory,hep-ex,422,136,95.49907063197026,99.53445065176908,7,7,INSPIRE,https://inspirehep.net/literature/2049796
4,arxiv:2203.14923,Axion Dark Matter,J. Jaeckel et al.,2203.14923,2022,Accelerator Science and Technology | Cosmic | Instrumentation | Rare Processes and Precision Measurements | Theory,hep-ex,346,229,79.23291536050156,99.34823091247671,5,5,INSPIRE,https://inspirehep.net/literature/2059869
5,arxiv:2203.08039,The Present and Future Status of Heavy Neutral Leptons,A. M. Abdullahi et al.,2203.08039,2022,Neutrinos,hep-ph,343,235,77.91091417910447,99.16201117318434,1,1,INSPIRE,https://inspirehep.net/literature/2052659
6,arxiv:2205.09545,Generalized Symmetries in Quantum Field Theory and Beyond,C. Cordova et al.,2205.09545,2022,Theory,hep-th,312,279,73.8548282566429,98.84543761638733,1,1,INSPIRE,https://inspirehep.net/literature/2085224
7,arxiv:2203.08128,Inflation: Theory and Observations,A. Achúcarro et al.,2203.08128,2022,Cosmic | Theory,astro-ph.CO,320,243,72.6865671641791,98.91992551210427,2,2,INSPIRE,https://inspirehep.net/literature/2052552
8,arxiv:2203.07622,The International Linear Collider,A. Aryshev et al.,2203.07622,2022,Accelerator Science and Technology | Community Engagement | Cosmic | Energy | Instrumentation | Neutrinos | Rare Processes and Precision Measurements | Theory,physics.acc-ph,293,93,66.51227470478558,98.60335195530726,8,8,INSPIRE,https://inspirehep.net/literature/2052751
9,arxiv:2111.11392,Celestial Holography,"S. Pasterski, et al.",2111.11392,2021,Theory,hep-th,284,264,60.27367809413132,98.28677839851024,1,1,INSPIRE,https://inspirehep.net/literature/1973246
10,arxiv:2203.14915,New Horizons: Scalar and Vector Ultralight Dark Matter,D. Antypas et al.,2203.14915,2022,Cosmic | Instrumentation | Rare Processes and Precision Measurements | Theory,hep-ex,261,158,59.768181818181816,98.10055865921787,4,4,INSPIRE,https://inspirehep.net/literature/2059892
11,arxiv:2109.10905,"The Forward Physics Facility: Sites, Experiments, and Physics Potential",L. A. Anchordoqui et al.,2109.10905,2021,Cosmic | Energy | Neutrinos | Rare Processes and Precision Measurements | Theory,hep-ph,287,87,58.8253367003367,98.30540037243946,5,5,INSPIRE,https://inspirehep.net/literature/1926149
12,arxiv:2203.08121,The Cosmological Bootstrap,D. Baumann et al.,2203.08121,2022,Cosmic | Theory,hep-th,224,187,50.88059701492537,97.72811918063314,2,2,INSPIRE,https://inspirehep.net/literature/2052479
13,arxiv:2203.02309,A Next-Generation Liquid Xenon Observatory for Dark Matter and Neutrino Physics,J. Aalbers et al.,2203.02309,2022,Cosmic | Instrumentation | Neutrinos | Rare Processes and Precision Measurements | Underground Facilities and Infrastructure,physics.ins-det,218,77,49.18128474366893,97.54189944134077,5,5,INSPIRE,https://inspirehep.net/literature/2046565
14,arxiv:2203.11110,Event Generators for High-Energy Physics Experiments,J. M. Campbell et al.,2203.11110,2022,Cosmic | Computational | Energy | Neutrinos | Theory,hep-ph,201,61,45.82724719101124,97.3556797020484,5,5,INSPIRE,https://inspirehep.net/literature/2055764
15,arxiv:2203.13199,Electron Ion Collider for High Energy Physics,R. Abdul Khalek et al.,2203.13199,2022,Accelerator Science and Technology | Energy | Instrumentation | Theory,hep-ph,197,110,44.999530956848034,97.0391061452514,4,4,INSPIRE,https://inspirehep.net/literature/2057945
16,arxiv:2203.08096,High-Energy and Ultra-High-Energy Neutrinos,M. Ackermann et al.,2203.08096,2022,Cosmic | Instrumentation | Neutrinos | Theory,hep-ph,196,83,44.520522388059696,96.85288640595903,4,4,INSPIRE,https://inspirehep.net/literature/2052677
17,arxiv:2101.08320,The LHC Olympics 2020: A Community Challenge for Anomaly Detection in High Energy Physics,G. Kasieczka et al.,2101.08320,2021,Computational | Energy | Theory,hep-ph,243,114,43.786753823384316,97.57914338919925,3,3,INSPIRE,https://inspirehep.net/literature/1842125
18,arxiv:2205.05845,Ultra-High-Energy Cosmic Rays: The Intersection of the Cosmic and Energy Frontiers,A. Coleman et al.,2205.05845,2022,Cosmic,astro-ph.HE,180,82,42.38878143133463,96.21973929236498,1,1,INSPIRE,https://inspirehep.net/literature/2080572
19,arxiv:2203.08297,The Landscape of Low-Threshold Dark Matter Direct Detection in the Next Decade,R. Essig et al.,2203.08297,2022,Cosmic,hep-ph,183,109,41.56763059701492,96.55493482309123,1,1,INSPIRE,https://inspirehep.net/literature/2053446
20,arxiv:2203.07256,Muon Collider Physics Summary,C. Aimè et al.,2203.07256,2022,Energy | Theory,hep-ph,182,92,41.31479179614667,96.36871508379888,2,2,INSPIRE,https://inspirehep.net/literature/2051198
21,arxiv:2204.05194,Gravitational Waves and Scattering Amplitudes,A. Buonanno et al.,2204.05194,2022,Cosmic | Theory,hep-th,175,152,40.429316888045534,95.66108007448788,2,2,INSPIRE,https://inspirehep.net/literature/2065377
22,arxiv:2204.06547,The Double Copy and its Applications,T. Adamo et al.,2204.06547,2022,Theory,hep-th,174,137,40.249208359721344,95.21415270018622,1,1,INSPIRE,https://inspirehep.net/literature/2066524
23,arxiv:2203.13923,Proton structure at the Precision Frontier,S. Amoroso et al.,2203.13923,2022,Energy | Theory,hep-ph,175,61,39.99921777221527,95.54934823091247,2,2,INSPIRE,https://inspirehep.net/literature/2059340
24,arxiv:2203.05728,CMB-HD White Paper,S. Aiola et al. (CMB-HD Collaboration).,2203.05728,2022,Cosmic,astro-ph.CO,175,133,39.62724736515809,95.49348230912476,1,1,INSPIRE,https://inspirehep.net/literature/2050051
25,arxiv:2203.07261,The Physics Case of a 3 TeV Muon Collider Stage,J. de Blas et al.,2203.07261,2022,Energy | Theory,hep-ph,173,83,39.27175264139217,94.91620111731842,2,2,INSPIRE,https://inspirehep.net/literature/2051251
26,arxiv:2203.08024,CMB-S4 White Paper,K. Abazajian et al.,2203.08024,2022,Cosmic | Instrumentation,astro-ph.CO,172,112,39.06902985074626,94.72998137802607,2,2,INSPIRE,https://inspirehep.net/literature/2052441
27,arxiv:2201.07805,New Physics Searches at Kaon and Hyperon Factories,E. Goudzovski et al.,2201.07805,2022,Rare Processes and Precision Measurements,hep-ph,175,93,38.43580877931449,95.32588454376163,1,1,INSPIRE,https://inspirehep.net/literature/2014186
28,arxiv:2203.06520,The Future Circular Collider: a Summary for the US 2021 Snowmass Process,G. Bernardi et al.,2203.06520,2022,Accelerator Science and Technology | Energy | Instrumentation | Neutrinos | Rare Processes and Precision Measurements | Theory,hep-ex,166,134,37.63594040968342,94.48789571694599,6,6,INSPIRE,https://inspirehep.net/literature/2051032
29,arxiv:2207.06307,Belle II Physics Reach and Plans for the Next Decade and Beyond,L. Aggarwal et al. (Belle II Collaboration).,2207.06307,2022,Energy | Rare Processes and Precision Measurements,hep-ex,152,116,37.310483870967744,93.91061452513966,2,2,INSPIRE,https://inspirehep.net/literature/2111425
30,arxiv:2203.07972,Detection of Early-Universe Gravitational Wave Signatures and Fundamental Physics,R. Caldwell et al.,2203.07972,2022,Cosmic | Energy,gr-qc,153,89,34.75326492537313,94.0875232774674,2,2,INSPIRE,https://inspirehep.net/literature/2052484
31,arxiv:2203.08271,The Strong Coupling Constant: State of the Art and the Decade Ahead,D. d'Enterria et al.,2203.08271,2022,Energy,hep-ph,153,74,34.75326492537313,94.0875232774674,1,1,INSPIRE,https://inspirehep.net/literature/2053387
32,arxiv:2203.07323,Light Sterile Neutrino Searches and Related Phenomenology,M. A. Acero et al.,2203.07323,2022,Neutrinos,hep-ex,153,83,34.7316656308266,94.00372439478585,1,1,INSPIRE,https://inspirehep.net/literature/2051352
33,arxiv:2203.07088,Functions Beyond Multiple Polylogarithms for Precision Collider Physics,J. L. Bourjaily et al.,2203.07088,2022,Theory,hep-ph,145,94,32.91563082660037,93.55679702048417,1,1,INSPIRE,https://inspirehep.net/literature/2051224
34,arxiv:2205.08553,The Physics potential of the CEPC,H. Cheng et al.,2205.08553,2022,Accelerator Science and Technology | Energy | Theory,hep-ph,138,107,32.62427184466019,93.10986964618249,3,3,INSPIRE,https://inspirehep.net/literature/2084168
35,arxiv:2206.08326,Global SMEFT Fits at Future Colliders,J. de Blas et al.,2206.08326,2022,Energy,hep-ph,135,100,32.5470297029703,92.79329608938546,1,1,INSPIRE,https://inspirehep.net/literature/2096992
36,arxiv:2005.10289,Vector Boson Fusion at Multi-TeV Muon Colliders,A. Costantini et al.,2005.10289,2020,Accelerator Science and Technology | Computational | Energy | Theory,hep-ph,200,177,32.15228873239436,95.99627560521415,4,4,INSPIRE,https://inspirehep.net/literature/1797226
37,arxiv:2203.01955,Neutrino Self-Interactions,J. M. Berryman et al.,2203.01955,2022,Neutrinos | Theory,hep-ph,142,95,32.01574074074074,93.20297951582867,2,2,INSPIRE,https://inspirehep.net/literature/2046321
38,arxiv:2203.02421,S-Matrix Bootstrap,M. Kruczenski et al.,2203.02421,2022,Theory,hep-th,140,133,31.584311303273626,93.0167597765363,1,1,INSPIRE,https://inspirehep.net/literature/2046440
39,arxiv:2203.08103,Electric Dipole Moments and the Search for New Physics,R. Alarcon et al.,2203.08103,2022,Rare Processes and Precision Measurements,hep-ph,136,72,30.891791044776117,92.7001862197393,1,1,INSPIRE,https://inspirehep.net/literature/2052270
40,arxiv:2209.03585,"A Spectroscopic Road Map for Cosmic Frontier: DESI, DESI-II, Stage-5",D. J. Schlegel et al.,2209.03585,2022,Cosmic,astro-ph.CO,121,57,30.884171907756812,91.9925512104283,1,1,INSPIRE,https://inspirehep.net/literature/2148948
41,arxiv:2203.15810,Prospects for Precise Predictions of a_μ in the Standard Model,G. Colangelo et al.,2203.15810,2022,Rare Processes and Precision Measurements | Theory,hep-ph,134,59,30.70483061480552,92.32774674115456,2,2,INSPIRE,https://inspirehep.net/literature/2060022
42,arxiv:2203.08084,Dark Matter Direct Detection to the Neutrino Fog,D.S. Akerib et al.,2203.08084,2022,Cosmic,hep-ex,132,108,29.983208955223876,92.14152700186219,1,1,INSPIRE,https://inspirehep.net/literature/2052588
43,arxiv:2203.06805,UV Constraints on IR Physics,C. de Rham et al.,2203.06805,2022,Theory,hep-th,130,107,29.49223602484472,91.95530726256982,1,1,INSPIRE,https://inspirehep.net/literature/2051217
44,arxiv:2205.05708,Naturalness,N. Craig.,2205.05708,2022,Energy | Theory,hep-ph,118,114,27.78820116054159,91.50837988826815,2,2,INSPIRE,https://inspirehep.net/literature/2698478
45,arxiv:2203.07361,Coherent Elastic Neutrino-Nucleus Scattering: Terrestrial and Astrophysical Applications,M. Abdullah et al.,2203.07361,2022,Neutrinos,hep-ph,119,39,27.01351771286513,91.5828677839851,1,1,INSPIRE,https://inspirehep.net/literature/2051269
46,arxiv:2203.05502,Searches for Long-Lived Particles at the Future FCC-ee,C. B. Verhaaren et al.,2203.05502,2022,Energy,hep-ex,115,71,26.040762554246744,91.26629422718807,1,1,INSPIRE,https://inspirehep.net/literature/2049590
47,arxiv:2203.08033,A Muon Collider Facility for Physics Discovery,D. Stratakis et al.,2203.08033,2022,Accelerator Science and Technology | Energy,physics.acc-ph,114,58,25.894589552238802,91.08007448789571,2,2,INSPIRE,https://inspirehep.net/literature/2052859
48,arxiv:2203.10811,Beyond the Standard Model Effects on Neutrino Flavor,C. A. Argüelles et al.,2203.10811,2022,Neutrinos,hep-ph,113,58,25.76357677902622,90.89385474860335,1,1,INSPIRE,https://inspirehep.net/literature/2622891
49,arxiv:2209.04322,The MegaMapper: A Stage-5 Spectroscopic Instrument Concept for the Study of Inflation and Dark Energy,D. J. Schlegel et al.,2209.04322,2022,Cosmic,astro-ph.IM,97,71,24.7756993006993,89.86033519553072,1,1,INSPIRE,https://inspirehep.net/literature/2149557
