group,paper_count,share_of_catalog,fractional_paper_count,citable_paper_count,citation_coverage,total_citations,mean_citations,median_citations,mean_citations_per_year,top_cited_title,top_cited_arxiv,top_cited_count
CF: Dark Matter: Particle-like,33,0.06099815157116451,14.941666666666666,33,1.0,1713,51.90909090909091,28.0,11.842542589881951,The International Linear Collider,2203.07622,293
TF: Collider Phenomenology,33,0.06099815157116451,15.583333333333334,33,1.0,1141,34.57575757575758,14.0,6.789334686544995,The LHC Olympics 2020: A Community Challenge for Anomaly Detection in High Energy Physics,2101.08320,243
EF: Beyond the Standard Model - More General Explorations,29,0.053604436229205174,18.25,29,1.0,884,30.482758620689655,11.0,6.490683572652143,The LHC Olympics 2020: A Community Challenge for Anomaly Detection in High Energy Physics,2101.08320,243
EF: General - centered on this frontier,29,0.053604436229205174,12.701190476190476,29,1.0,2556,88.13793103448276,42.0,19.62069983086793,The Forward Physics Facility at the High-Luminosity LHC,2203.05090,422
AF: Accelerator Technology - Magnets,20,0.036968576709796676,20.0,20,1.0,95,4.75,4.0,1.088415801053356,Superconducting Detector Magnets for High Energy Physics,2203.07799,23
CF: Cosmic Probes of Fundamental Physics,20,0.036968576709796676,12.783333333333333,20,1.0,2795,139.75,37.5,31.89380387211505,"Cosmology Intertwined: A Review of the Particle Physics, Astrophysics, and Cosmology Associated with the Cosmological Tensions and Anomalies",2203.06142,1594
CompF: Theoretical Calculations and Simulations,19,0.03512014787430684,7.533333333333333,19,1.0,1099,57.8421052631579,29.0,12.060418310229165,Event Generators for High-Energy Physics Experiments,2203.11110,201
EF: Higgs Boson Properties and Couplings,19,0.03512014787430684,13.666666666666666,19,1.0,392,20.63157894736842,10.0,4.6766697247864855,Strategy for Understanding the Higgs Physics: The Cool Copper Collider,2203.07646,99
TF: Astro-Particle Physics and Cosmology,19,0.03512014787430684,8.616666666666667,19,1.0,1976,104.0,53.0,23.7474154234254,Axion Dark Matter,2203.14923,346
AF: General - centered on this frontier,17,0.031423290203327174,7.809523809523809,17,1.0,1307,76.88235294117646,16.0,16.481302864622343,The Forward Physics Facility at the High-Luminosity LHC,2203.05090,422
