paper_id,record_id,title,authors_as_listed,source_url,source_version,source_version_url,source_license,source_license_url,license_evidence_url,permits_adaptation,permits_commercial_reuse,license_decision,license_evidence,license_checked_at,translation_status,translation_license,machine_model,human_reviewers,frontiers,topics,notes
arXiv:2203.07864,arxiv:2203.07864,21cm Radiation as a Probe of Physics Across Cosmic Ages,A. Liu et al.,https://arxiv.org/abs/2203.07864,v1,https://arxiv.org/abs/2203.07864v1,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:03+00:00,not-started,,,,CF | IF,CF: Dark Energy and Cosmic Acceleration: Cosmic Dawn and Before | IF: General - cross-listed,Manual source-license review is required before publishing a full translation.
arXiv:2203.13900,arxiv:2203.13900,4-Dimensional Trackers,D. Berry et al.,https://arxiv.org/abs/2203.13900,v1,https://arxiv.org/abs/2203.13900v1,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:06+00:00,not-started,,,,IF,IF: Solid State Detectors and Tracking,Manual source-license review is required before publishing a full translation.
arXiv:2203.00042,arxiv:2203.00042,A Call to Arms Control: Synergies between Nonproliferation Applications of Neutrino Detectors and Large-Scale Fundamental Neutrino Physics Experiments,T. Akindele et al.,https://arxiv.org/abs/2203.00042,v4,https://arxiv.org/abs/2203.00042v4,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:01+00:00,not-started,,,,AF | CEF | IF | NF | UF,AF: Accelerators for Neutrinos | CEF: Environmental and Societal Impacts | IF: Cross-Cutting Issues and Systems Integration | NF: Neutrino Applications | UF: Underground Facilities for Neutrinos,Manual source-license review is required before publishing a full translation.
arXiv:2111.06932,arxiv:2111.06932,A Cost-Efective Upgrade Path for the Fermilab Accelerator Complex,S. Nagaitsev et al.,https://arxiv.org/abs/2111.06932,v2,https://arxiv.org/abs/2111.06932v2,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:02+00:00,not-started,,,,AF | NF,AF: Accelerators for Neutrinos | NF: Artificial Neutrino Sources,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2203.09734,arxiv:2203.09734,A Facility for Low-Radioactivity Underground Argon,H. O. Back et al.,https://arxiv.org/abs/2203.09734,v1,https://arxiv.org/abs/2203.09734v1,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:04+00:00,not-started,,,,CF | IF | NF | UF,CF: General - cross-listed: | IF: Cross-Cutting Issues and Systems Integration | NF: General - cross-listed | UF: Supporting Capabilities,Manual source-license review is required before publishing a full translation.
arXiv:1910.14149,arxiv:1910.14149,A Fast Method for Particle Tracking and Triggering using Small-Radius Silicon Detectors,A. V. Kotwal.,https://arxiv.org/abs/1910.14149,v2,https://arxiv.org/abs/1910.14149v2,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:00+00:00,not-started,,,,EF | IF,EF: Beyond the Standard Model - More General Explorations | IF: Trigger and Data Acquisition,Manual source-license review is required before publishing a full translation.
arXiv:2203.06281,arxiv:2203.06281,A Gaseous Argon-Based Near Detector to Enhance the Physics Capabilities of DUNE,A. Abed Abud et al.,https://arxiv.org/abs/2203.06281,v1,https://arxiv.org/abs/2203.06281v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:02+00:00,not-started,,,,IF | NF,IF: General - centered on this frontier | NF: General - centered on this frontier,Adaptation is indicated by the source license; preserve attribution and all license conditions.
arXiv:2207.05103,arxiv:2207.05103,A Grand Scan of the pMSSM Parameter Space for Snowmass 2021,J. Dickinson et al.,https://arxiv.org/abs/2207.05103,v2,https://arxiv.org/abs/2207.05103v2,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:00+00:00,not-started,,,,CF | EF,CF: Dark Matter: Particle-like | EF: Beyond the Standard Model - Model Specific Explorations,Manual source-license review is required before publishing a full translation.
arXiv:2205.15373,arxiv:2205.15373,A Lattice QCD Perspective on Weak Decays of b and c Quarks,P. A. Boyle et al.,https://arxiv.org/abs/2205.15373,v2,https://arxiv.org/abs/2205.15373v2,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,https://arxiv.org/licenses/nonexclusive-distrib/1.0/,,,hold-manual-license-review,arxiv_abs_page,2026-08-09T05:47:01+00:00,not-started,,,,CompF | RPF | TF,CompF: Theoretical Calculations and Simulations | RPF: Weak Decays of b and c Quarks | TF: Lattice Gauge Theory,Manual source-license review is required before publishing a full translation.
arXiv:2103.08623,arxiv:2103.08623,A Lunar Farside Low Radio Frequency Array for Dark Ages 21-cm Cosmology,J. Burns et al.,https://arxiv.org/abs/2103.08623,v1,https://arxiv.org/abs/2103.08623v1,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,https://creativecommons.org/licenses/by/4.0/,True,True,eligible-after-attribution-check,arxiv_abs_page,2026-08-09T05:47:02+00:00,not-started,,,,CF,CF: Dark Matter: Cosmic Probes,Adaptation is indicated by the source license; preserve attribution and all license conditions.
