placement_number,record_id,title,authors_as_listed,arxiv,external_url,frontier_code,frontier,topic,paper_path,official_pdf_url
1,,Modern and Future Colliders,"V. Shiltsev, F. Zimmermann",2003.09084,https://arxiv.org/abs/2003.09084,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2003.09084.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2003.09084.pdf
2,,Physics Opportunities for the Fermilab Booster Replacement,J. Arrington et al.,2203.03925,https://arxiv.org/abs/2203.03925,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2203.03925.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.03925.pdf
3,,The Forward Physics Facility at the High-Luminosity LHC,J. L. Feng et al.,2203.05090,https://arxiv.org/abs/2203.05090,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2203.05090.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.05090.pdf
4,,Higgs Factory Considerations,J. A. Bagger et al.,2203.06164,https://arxiv.org/abs/2203.06164,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2203.06164.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06164.pdf
5,,The Future Circular Collider: a Summary for the US 2021 Snowmass Process,G. Bernardi et al.,2203.06520,https://arxiv.org/abs/2203.06520,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2203.06520.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06520.pdf
6,,DIMUS: Super-Compact Dimuonium Spectroscopy Collider at Fermilab,P. J. Fox et al.,2203.07144,https://arxiv.org/abs/2203.07144,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2203.07144.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.07144.pdf
7,,Future Collider Options for the US,P. C. Bhat et al.,2203.08088,https://arxiv.org/abs/2203.08088,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2203.08088.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08088.pdf
8,,The Physics Case for a Neutrino Factory,A. Bogacz et al.,2203.08094,https://arxiv.org/abs/2203.08094,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2203.08094.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08094.pdf
9,,Accelerator Modeling Community White Paper,S. Biedron et al.,2203.08335,https://arxiv.org/abs/2203.08335,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2203.08335.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08335.pdf
10,,The CLIC Project,O. Brunner et al.,2203.09186,https://arxiv.org/abs/2203.09186,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2203.09186.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09186.pdf
11,,Nurturing the Industrial Accelerator Technology Base in the US,A. M. M. Todd,2203.10377,https://arxiv.org/abs/2203.10377,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2203.10377.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.10377.pdf
12,,Beam Test Facilities for R&D in Accelerator Science and Technologies,J. Power et al.,2203.11290,https://arxiv.org/abs/2203.11290,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2203.11290.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.11290.pdf
13,,Electron Ion Collider for High Energy Physics,R. Abdul Khalek,2203.13199,https://arxiv.org/abs/2203.13199,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2203.13199.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.13199.pdf
14,,Japan’s Strategy for Future Projects in High Energy Physics,M. Endo et al.,2203.13979,https://arxiv.org/abs/2203.13979,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2203.13979.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.13979.pdf
15,,Physics at Future Colliders: the Interplay Between Energy and Luminosity,"Z. Liu, L.-T. Wang.",2205.00031,https://arxiv.org/abs/2205.00031,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2205.00031.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2205.00031.pdf
16,,The Physics potential of the CEPC,H. Cheng et al.,2205.08553,https://arxiv.org/abs/2205.08553,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2205.08553.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2205.08553.pdf
17,,U.S. National Accelerator R&D Program on Future Colliders,P. C. Bhat et al.,2207.06213,https://arxiv.org/abs/2207.06213,AF,Accelerator Science and Technology,General - centered on this frontier,papers/2207.06213.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2207.06213.pdf
18,,Precision Studies of Spacetime Symmetries and Gravitational Physics,E. Adelberger et al.,2203.09691,https://arxiv.org/abs/2203.09691,AF,Accelerator Science and Technology,General - cross-listed,papers/2203.09691.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09691.pdf
19,,Center-of-Mass Energy Determination using e+e−→μ+μ-(γ) Events at Future e+e− Colliders,"B. Madison, G. W. Wilson.",2209.03281,https://arxiv.org/abs/2209.03281,AF,Accelerator Science and Technology,General - cross-listed,papers/2209.03281.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2209.03281.pdf
20,,Adaptive Machine Learning for Time-Varying Systems: Towards 6D Phase Space Diagnostics of Short Intense Charged Particle Beams,"A. Scheinker, S. Gessner.",2203.04391,https://arxiv.org/abs/2203.04391,AF,Accelerator Science and Technology,Beam Physics and Accelerator Education,papers/2203.04391.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.04391.pdf
21,,Ion Coulomb Crystals in Storage Rings for Quantum Information Science,S. Brooks et al.,2203.06809,https://arxiv.org/abs/2203.06809,AF,Accelerator Science and Technology,Beam Physics and Accelerator Education,papers/2203.06809.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06809.pdf
22,,Accelerator and Beam Physics: Grand Challenges and Research Opportunities,S. Nagaitsev et al.,2203.06816,https://arxiv.org/abs/2203.06816,AF,Accelerator Science and Technology,Beam Physics and Accelerator Education,papers/2203.06816.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.06816.pdf
23,,"Strategies in Education, Outreach, and Inclusion to Enhance the US Workforce in Accelerator Science and Engineering",M. Bai et al.,2203.08919,https://arxiv.org/abs/2203.08919,AF,Accelerator Science and Technology,Beam Physics and Accelerator Education,papers/2203.08919.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.08919.pdf
24,,The Necessity of International Particle Physics Opportunities for American Education,E. Arce-Lareta et al.,2203.09336,https://arxiv.org/abs/2203.09336,AF,Accelerator Science and Technology,Beam Physics and Accelerator Education,papers/2203.09336.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.09336.pdf
25,,In Search of Excellence and Equity in Physics,E. Barzi et al.,2203.10393,https://arxiv.org/abs/2203.10393,AF,Accelerator Science and Technology,Beam Physics and Accelerator Education,papers/2203.10393.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2203.10393.pdf
26,,How Community Agreements Can Improve Workplace Culture in Physics,E. Barzi et al.,2209.06755,https://arxiv.org/abs/2209.06755,AF,Accelerator Science and Technology,Beam Physics and Accelerator Education,papers/2209.06755.pdf,https://www.slac.stanford.edu/econf/C210711/papers/2209.06755.pdf
