number,record_id,title,authors_as_listed,arxiv,external_url,frontiers,topics,placement_count,official_pdf_urls
1,arxiv:2203.07864,21cm Radiation as a Probe of Physics Across Cosmic Ages,A. Liu et al.,2203.07864,https://arxiv.org/abs/2203.07864,CF | IF,CF: Dark Energy and Cosmic Acceleration: Cosmic Dawn and Before | IF: General - cross-listed,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.07864.pdf
2,arxiv:2203.13900,4-Dimensional Trackers,D. Berry et al.,2203.13900,https://arxiv.org/abs/2203.13900,IF,IF: Solid State Detectors and Tracking,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.13900.pdf
3,arxiv:2203.00042,A Call to Arms Control: Synergies between Nonproliferation Applications of Neutrino Detectors and Large-Scale Fundamental Neutrino Physics Experiments,T. Akindele et al.,2203.00042,https://arxiv.org/abs/2203.00042,AF | CEF | IF | NF | UF,AF: Accelerators for Neutrinos | CEF: Environmental and Societal Impacts | IF: Cross-Cutting Issues and Systems Integration | NF: Neutrino Applications | UF: Underground Facilities for Neutrinos,5,https://www.slac.stanford.edu/econf/C210711/papers/2203.00042.pdf
4,arxiv:2111.06932,A Cost-Efective Upgrade Path for the Fermilab Accelerator Complex,S. Nagaitsev et al.,2111.06932,https://arxiv.org/abs/2111.06932,AF | NF,AF: Accelerators for Neutrinos | NF: Artificial Neutrino Sources,2,https://www.slac.stanford.edu/econf/C210711/papers/2111.06932.pdf
5,arxiv:2203.09734,A Facility for Low-Radioactivity Underground Argon,H. O. Back et al.,2203.09734,https://arxiv.org/abs/2203.09734,CF | IF | NF | UF,CF: General - cross-listed: | IF: Cross-Cutting Issues and Systems Integration | NF: General - cross-listed | UF: Supporting Capabilities,4,https://www.slac.stanford.edu/econf/C210711/papers/2203.09734.pdf
6,arxiv:1910.14149,A Fast Method for Particle Tracking and Triggering using Small-Radius Silicon Detectors,A. V. Kotwal.,1910.14149,https://arxiv.org/abs/1910.14149,EF | IF,EF: Beyond the Standard Model - More General Explorations | IF: Trigger and Data Acquisition,2,https://www.slac.stanford.edu/econf/C210711/papers/1910.14149.pdf
7,arxiv:2203.06281,A Gaseous Argon-Based Near Detector to Enhance the Physics Capabilities of DUNE,A. Abed Abud et al.,2203.06281,https://arxiv.org/abs/2203.06281,IF | NF,IF: General - centered on this frontier | NF: General - centered on this frontier,2,https://www.slac.stanford.edu/econf/C210711/papers//2203.06281.pdf | https://www.slac.stanford.edu/econf/C210711/papers/2203.06281.pdf
8,arxiv:2207.05103,A Grand Scan of the pMSSM Parameter Space for Snowmass 2021,J. Dickinson et al.,2207.05103,https://arxiv.org/abs/2207.05103,CF | EF,CF: Dark Matter: Particle-like | EF: Beyond the Standard Model - Model Specific Explorations,2,https://www.slac.stanford.edu/econf/C210711/papers/2207.05103.pdf
9,arxiv:2205.15373,A Lattice QCD Perspective on Weak Decays of b and c Quarks,P. A. Boyle et al.,2205.15373,https://arxiv.org/abs/2205.15373,CompF | RPF | TF,CompF: Theoretical Calculations and Simulations | RPF: Weak Decays of b and c Quarks | TF: Lattice Gauge Theory,3,https://www.slac.stanford.edu/econf/C210711/papers/2205.15373.pdf | https://www.slac.stanford.edu/econf/C210711/papers/arXiv:2205.15373.pdf
10,arxiv:2103.08623,A Lunar Farside Low Radio Frequency Array for Dark Ages 21-cm Cosmology,J. Burns et al.,2103.08623,https://arxiv.org/abs/2103.08623,CF,CF: Dark Matter: Cosmic Probes,1,https://www.slac.stanford.edu/econf/C210711/papers/2103.08623.pdf
11,arxiv:2203.08033,A Muon Collider Facility for Physics Discovery,D. Stratakis et al.,2203.08033,https://arxiv.org/abs/2203.08033,AF | EF,AF: Multi-TeV Colliders | EF: General - centered on this frontier,2,https://www.slac.stanford.edu/econf/C210711/papers/2203.08033.pdf
12,arxiv:2203.08278,A New Charged Lepton Flavor Violation Program at Fermilab,M. Aoki et al.,2203.08278,https://arxiv.org/abs/2203.08278,RPF,RPF: Charged Lepton Flavor Violation,1,https://www.slac.stanford.edu/econf/C210711/papers/2203.08278.pdf
13,arxiv:2203.02309,A Next-Generation Liquid Xenon Observatory for Dark Matter and Neutrino Physics,J. Aalbers et al.,2203.02309,https://arxiv.org/abs/2203.02309,CF | IF | NF | RPF | UF,CF: Dark Matter: Particle-like | IF: Noble Element-Based Detectors | NF: Neutrinos from Natural Sources | RPF: Fundamental Physics in Small Experiments | UF: Underground Detectors,5,https://www.slac.stanford.edu/econf/C210711/papers/2203.02309.pdf
